variable	position	description	page
PUMFID	001-006	Randomly generated sequence number for the public use microdata file	9
PHHP01P	007-008	Number of people in household	9
PHHP02P	009-010	Number of people in household 18 years of age and older	9
AGEGRP	011-012	Age group of respondent	10
REGION	013-013	Region of residence - 5 groups	10
RURURBP	014-014	Rural/Urban indicator	10
GDRP10	015-015	Gender of respondent	11
SORFLAGP	016-016	Sexual orientation of respondent	11
IIDFLGP	017-017	Indigenous identity of respondent	12
VISMFLP	018-018	Visible minority status	12
EDUGRPP	019-019	Highest certificate, diploma or degree completed	12
EDUFLAGP	020-020	Highest certificate, diploma or degree flag	13
MAP01	021-021	Worked at a job or business in past 12 months	13
PRIP05A	022-022	Disputes or problems - Large purchase or service	13
PRIP05B	023-023	Disputes or problems - Employer or job	14
PRIP05C	024-024	Disputes or problems - Injury or serious health issue	14
PRIP05D	025-025	Disputes or problems - Vandalism, property damage, noise	15
PRIP05E	026-026	Disputes or problems - House, mortgage or rent owed to you	15
PRIP05F	027-027	Disputes or problems - Debt or money owed to you	15
PRIP05G	028-028	Disputes or problems - Getting government assistance	16
PRIP05H	029-029	Disputes or problems - Getting disability assistance	16
PRIP05I	030-030	Disputes or problems - Immigration to Canada	17
PRIP05J	031-031	Disputes or problems - Being stopped/accused/arrested	17
PRIP05K	032-032	Disputes or problems - Victim of/witness to a crime	17
PRIP05L	033-033	Disputes or problems - Breakdown of family	18
PRIP05M	034-034	Disputes or problems - Child custody	18
PRIP05N	035-035	Disputes or problems - A will	19
PRIP05O	036-036	Disputes or problems - Poor or incorrect medical treatment	19
PRIP05P	037-037	Disputes or problems - Civil court or legal action	19
PRIP05Q	038-038	Disputes or problems - Harassment	20
PRIP05R	039-039	Disputes or problems - Discrimination	20
PRIP05S	040-040	Disputes or problems - Other problem	21
PRIP10A	041-041	Serious problem - Large purchase or service	21
PRIP10B	042-042	Serious problem - Employer or job	21
PRIP10C	043-043	Serious problem - Injury or serious health issue	22
PRIP10D	044-044	Serious problem - Vandalism, property damage, noise	22
PRIP10E	045-045	Serious problem - House, mortgage or rent owed to you	23
PRIP10F	046-046	Serious problem - Debt or money owed to you	23
PRIP10G	047-047	Serious problem - Getting government assistance	23
PRIP10H	048-048	Serious problem - Getting disability assistance	24
PRIP10I	049-049	Serious problem - Immigration to Canada	24
PRIP10J	050-050	Serious problem - Being stopped/accused/arrested	25
PRIP10K	051-051	Serious problem - Victim of/witness to a crime	25
PRIP10L	052-052	Serious problem - Breakdown of family	26
PRIP10M	053-053	Serious problem - Child custody	26
PRIP10N	054-054	Serious problem - A will	26
PRIP10O	055-055	Serious problem - Poor or incorrect medical treatment	27
PRIP10P	056-056	Serious problem - Civil court or legal action	27
PRIP10Q	057-057	Serious problem - Harassment	28
PRIP10R	058-058	Serious problem - Discrimination	28
PRIP10S	059-059	Serious problem - Other problem	28
PROBCNTP	060-061	Number of serious problems reported	29
CON_10A	062-062	Large purchase/service - Large purchase not what paid for	29
CON_10B	063-063	Large purchase/service - Major repairs/renos not what paid for	29
CON_10C	064-064	Large purchase/service - Service not what paid for	30
CON_10D	065-065	Large purchase/service - Safety concern with a purchase	30
CON_10E	066-066	Large purchase/service - Insurance claim	31
CON_10F	067-067	Large purchase/service - Incorrect bill or invoice	31
CON_10G	068-068	Large purchase/service - Not getting a refund	32
CON_10H	069-069	Large purchase/service - Other problem	32
EMP_10A	070-070	Employer/job - Not being paid wages owed to you	33
EMP_10B	071-071	Employer/job - Being fired or dismissed from a job	33
EMP_10C	072-072	Employer/job - Refused leave or other work rights/conditions	33
EMP_10D	073-073	Problem with employer - Safety issue at workplace	34
EMP_10E	074-074	Problem with employer - Being subject to disciplinary procedures	34
EMP_10F	075-075	Problem with employer - Other	35
DEBP10B	076-076	Debt/money owed to you - Collecting money owed to you	35
DEBP10C	077-077	Debt/money owed to you - Collection agency contacting repeatedly	36
DEBP10D	078-078	Debt/money owed to you - Refusal of credit due to inaccurate info	36
DEBP10E	079-079	Debt/money owed to you - Contacted by bank to pay incorrect charge	37
DEBP10F	080-080	Debt/money owed to you - Utility contacting for an incorrect charge	37
DEBP10G	081-081	Debt/money owed to you - Threat of legal action to collect a debt	37
DEBP10H	082-082	Debt/money owed to you- Bought financial product due to incorrect info	38
DEBP10I	083-083	Debt/money owed to you - Other problem	38
CRM_10	084-084	Being stopped/arrested/victim/witness - Violence involved	39
CRM_20	085-085	Being stopped/arrested - Felt unreasonably treated	39
FAM10AP	086-086	Breakdown of family - Division of money or property	40
